"Age","Gender","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence"
39,"male","No","No","No","Never","26-100","Yes","Yes","No","No","No","No","Don't know","Very easy","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
29,"male","No","Yes","Yes","Sometimes","6-25","No","Yes","No","Yes","Yes","Yes","Yes","Somewhat easy","No","No","No","Yes","No","Maybe","Yes","No"
38,"male","No","No","Yes","Never","6-25","Yes","Yes","No","No","No","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","Yes","Yes","Don't know","Yes"
43,"male","Yes","No","Yes","Sometimes","26-100","Yes","No","No","No","No","No","No","Don't know","No","No","Some of them","Yes","Maybe","Yes","Don't know","Yes"
43,"female","No","Yes","Yes","Sometimes","6-25","Yes","No","Yes","No","No","No","No","Don't know","Yes","Maybe","No","Yes","No","Maybe","Yes","Yes"
42,"male","No","No","Yes","Often","More than 1000","Yes","Yes","Yes","Yes","No","Yes","Yes","Somewhat easy","Yes","Yes","No","No","Maybe","Yes","No","Yes"
30,"male","No","No","No","Never","26-100","Yes","Yes","Don't know","Yes","No","No","Don't know","Somewhat easy","No","No","Some of them","Yes","Yes","Yes","Yes","No"
37,"female","No","Yes","Yes","Often","More than 1000","Yes","Yes","Yes","Yes","No","Yes","Yes","Very easy","No","No","Some of them","Yes","No","No","Yes","Yes"
44,"female","No","Yes","Yes","Often","26-100","Yes","No","Don't know","No","No","No","Don't know","Very difficult","Yes","Yes","No","No","Maybe","Maybe","No","No"
30,"male","Yes","Yes","Yes","Often","26-100","Yes","No","No","Yes","No","No","No","Don't know","No","No","Some of them","Yes","Maybe","Yes","Don't know","No"
28,"male","No","No","Yes","Often","26-100","No","Yes","Yes","No","Yes","Yes","Yes","Very easy","No","No","No","Yes","Yes","Yes","No","Yes"
34,"male","No","Yes","Yes","Rarely","100-500","Yes","No","Yes","No","No","Don't know","Don't know","Somewhat difficult","Yes","No","No","No","No","No","No","No"
30,"female","No","Yes","Yes","Sometimes","100-500","Yes","Yes","Yes","Yes","No","No","Yes","Very easy","No","No","Yes","Yes","No","No","Yes","No"
44,"male","No","No","No","Sometimes","100-500","Yes","No","Yes","No","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","No","Yes","No","Yes"
35,"male","No","Yes","Yes","Sometimes","100-500","Yes","Yes","Yes","Not sure","No","Don't know","Yes","Very easy","No","No","No","Some of them","No","No","Don't know","No"
52,"male","No","Yes","Yes","Sometimes","100-500","Yes","Yes","Don't know","Yes","No","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","Yes","Maybe","Maybe","Yes","No"
32,"female","No","Yes","Yes","Often","26-100","Yes","Yes","No","Not sure","No","No","Don't know","Very difficult","Maybe","No","No","No","No","Yes","No","Yes"
34,"male","No","No","No","Never","500-1000","No","Yes","No","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Yes","No"
25,"female","Yes","No","Yes","Often","26-100","Yes","No","No","No","No","No","No","Don't know","No","No","No","Some of them","No","No","Don't know","No"
31,"male","No","Yes","Yes","Sometimes","100-500","Yes","No","Don't know","No","No","No","Don't know","Don't know","Yes","No","No","No","No","Yes","No","No"
26,"male","No","Yes","No","Never","6-25","Yes","Yes","No","Yes","No","No","Don't know","Very easy","No","No","Some of them","Yes","No","Maybe","Yes","No"
35,"male","No","No","No","Never","More than 1000","No","No","Yes","Yes","Yes","Don't know","Don't know","Somewhat easy","No","No","Some of them","Yes","No","No","Don't know","No"
